employee_id,gender,nationality,age,service_year,age_group,service_year_group
05100454,Female,Windport,38,12,30-39,11-20
05101515,Female,Windport,58,20,50-59,11-20
05102902,Female,Windport,50,16,50-59,11-20
05107330,Male,Windport,53,20,50-59,11-20
05108128,Female,Windport,54,20,50-59,11-20
05109204,Female,Windport,51,12,50-59,11-20
05110021,Female,Windport,20,1,20-29,00-03
05110940,Female,Windport,32,6,30-39,06-10
05114441,Male,Windport,25,3,20-29,00-03
05116882,Male,Windport,57,13,50-59,11-20
05117750,Male,Frostlands,42,0,40-49,00-03
05118810,Male,Earthgate,37,2,30-39,00-03
05120475,Male,Windport,19,0,20 below,00-03
05123755,Female,Windport,53,14,50-59,11-20
05125119,Female,Flowerfield,48,16,40-49,11-20
05125391,Male,Skyloft,50,11,50-59,11-20
05128141,Male,Windport,19,1,20 below,00-03
05132831,Female,Windport,21,1,20-29,00-03
05133918,Male,Windport,41,4,40-49,04-05
05135604,Female,Windport,37,4,30-39,04-05
05137976,Male,Windport,25,2,20-29,00-03
05138352,Female,Windport,26,6,20-29,06-10
05140948,Male,Windport,39,14,30-39,11-20
05141932,Female,Rainbowbay,53,18,50-59,11-20
05144533,Male,Windport,58,1,50-59,00-03
05145671,Female,Windport,20,1,20-29,00-03
05155554,Female,Windport,53,20,50-59,11-20
05159639,Male,Windport,29,3,20-29,00-03
05160311,Male,Skyloft,29,0,20-29,00-03
05161196,Female,Windport,33,14,30-39,11-20
05163118,Female,Windport,57,20,50-59,11-20
05164065,Female,Windport,60,22,60-69,21-30
05164908,Male,Windport,39,3,30-39,00-03
05173887,Female,Windport,45,17,40-49,11-20
05178130,Male,Searock,30,1,30-39,00-03
05179114,Female,Windport,29,1,20-29,00-03
05183235,Female,Windport,28,2,20-29,00-03
05187625,Male,Windport,23,2,20-29,00-03
05190605,Female,Searock,40,2,40-49,00-03
05192661,Female,Silverstream,22,1,20-29,00-03
05192796,Male,Windport,44,11,40-49,11-20
05194452,Female,Windport,56,11,50-59,11-20
05196068,Male,Windport,33,12,30-39,11-20
05196087,Male,Windport,22,1,20-29,00-03
05196612,Female,Windport,52,5,50-59,04-05
05196645,Female,Moonville,60,24,60-69,21-30
05201247,Female,Windport,35,20,30-39,11-20
05201259,Female,Windport,64,19,60-69,11-20
05201467,Female,Windport,29,5,20-29,04-05
05208835,Female,Windport,33,7,30-39,06-10
05209918,Female,Windport,31,1,30-39,00-03
05210010,Female,Stonehall,23,2,20-29,00-03
05210686,Female,Windport,32,7,30-39,06-10
05214681,Male,Windport,22,0,20-29,00-03
05214902,Female,Windport,55,11,50-59,11-20
05214979,Female,Silverstream,42,8,40-49,06-10
05215842,Female,Windport,36,2,30-39,00-03
05216737,Female,Windport,40,13,40-49,11-20
05219068,Female,Windport,50,32,50-59,31-40
05219455,Male,Windport,27,0,20-29,00-03
05223721,Female,Windport,60,42,60-69,41-50
05227315,Female,Windport,24,0,20-29,00-03
05228625,Female,Windport,59,17,50-59,11-20
05229977,Female,Windport,55,9,50-59,06-10
05230506,Male,Windport,25,2,20-29,00-03
05232704,Male,Windport,24,1,20-29,00-03
05233446,Female,Windport,53,13,50-59,11-20
