employee_id,department,start_date,end_date,
05100454,Customer Service,2011-01-01,9999-12-31,
05101515,IKEA Food,2003-02-01,9999-12-31,
05102902,Customer Service,2007-03-15,9999-12-31,
05107330,Finance & Admin,2003-04-01,9999-12-31,
05108128,Sales,2003-05-15,9999-12-31,
05109204,Customer Service,2011-06-01,9999-12-31,
05110021,Customer Service,2022-07-01,9999-12-31,
05110940,Customer Service,2017-08-01,9999-12-31,
05116882,Finance & Admin,2010-09-01,9999-12-31,
05117750,Logistics,2023-10-15,9999-12-31,
05118810,Logistics,2021-11-15,9999-12-31,
05120475,Logistics,2023-12-01,9999-12-31,
05123755,Sales,2009-01-01,9999-12-31,
05125119,Customer Service,2007-02-01,9999-12-31,
05125391,Finance & Admin,2012-03-15,9999-12-31,
05128141,Logistics,2022-04-01,9999-12-31,
05132831,Sales,2022-05-15,9999-12-31,
05133918,IKEA Food,2019-08-01,9999-12-31,
05135604,Logistics,2019-09-01,9999-12-31,
05138352,Logistics,2017-10-15,9999-12-31,
05140948,Sales,2009-11-15,9999-12-31,
05141932,Sales,2005-12-01,9999-12-31,
05144533,Logistics,2022-01-01,9999-12-31,
05145671,Sales,2022-02-01,9999-12-31,
05155554,Sales,2003-03-15,9999-12-31,
05159639,Sales,2020-04-01,9999-12-31,
05160311,Logistics,2023-05-15,9999-12-31,
05161196,Sales,2009-06-01,9999-12-31,
05163118,Customer Service,2003-07-01,9999-12-31,
05164065,Logistics,2001-08-01,9999-12-31,
05164908,Logistics,2020-09-01,9999-12-31,
05173887,Finance & Admin,2006-10-15,9999-12-31,
05178130,IKEA Food,2022-09-01,9999-12-31,
05179114,Sales,2022-10-15,9999-12-31,
05183235,People & Culture,2021-11-15,9999-12-31,
05187625,Customer Service,2021-12-01,9999-12-31,
05190605,Logistics,2021-01-01,9999-12-31,
05192661,Sales,2022-02-01,9999-12-31,
05192796,Customer Service,2012-03-15,9999-12-31,
05196068,Finance & Admin,2011-04-01,9999-12-31,
05196087,Logistics,2022-05-15,9999-12-31,
05196612,Logistics,2018-06-01,9999-12-31,
05196645,Sales,1999-07-01,9999-12-31,
05201247,IKEA Food,2003-08-01,9999-12-31,
05201259,IKEA Food,2004-09-01,9999-12-31,
05201467,People & Culture,2018-10-15,9999-12-31,
05208835,Logistics,2016-11-15,9999-12-31,
05209918,Logistics,2022-12-01,9999-12-31,
05210010,Customer Service,2021-01-01,9999-12-31,
05214681,Customer Service,2023-02-01,9999-12-31,
05214902,Sales,2012-03-15,9999-12-31,
05214979,Com&In,2015-04-01,9999-12-31,
05215842,Logistics,2021-05-15,9999-12-31,
05216737,Com&In,2010-06-01,9999-12-31,
05219068,Logistics,1991-07-01,9999-12-31,
05219455,Logistics,2023-08-01,9999-12-31,
05223721,Com&In,1981-09-01,9999-12-31,
05227315,Logistics,2023-10-15,9999-12-31,
05229977,Customer Service,2014-11-15,9999-12-31,
05230506,Logistics,2021-12-01,9999-12-31,
05232704,Customer Service,2022-01-01,9999-12-31,
05233446,Customer Service,2010-02-01,9999-12-31,
05234317,Customer Service,2021-03-15,9999-12-31,
05235543,Logistics,2004-04-01,9999-12-31,
05239458,Logistics,2009-05-15,9999-12-31,
05240432,Customer Service,2022-06-01,9999-12-31,
05248554,Logistics,2020-07-01,9999-12-31,
05251023,Logistics,2021-08-01,9999-12-31,
05252328,Com&In,2021-09-01,9999-12-31,
05253659,Com&In,2022-10-15,9999-12-31,
05254513,Logistics,2019-11-15,9999-12-31,
05258866,Logistics,2011-12-01,9999-12-31,
05260802,Customer Service,2003-01-01,9999-12-31,
05261919,Logistics,2023-02-01,9999-12-31,
05268953,People & Culture,2022-03-15,9999-12-31,
05270956,Sales,2003-04-01,9999-12-31,
05275738,Finance & Admin,2023-05-15,9999-12-31,
05276101,Customer Service,2021-06-01,9999-12-31,
05277360,Management Team,2004-07-01,9999-12-31,
05283541,Sales,2010-08-01,9999-12-31,
05284836,Customer Service,2022-09-01,9999-12-31,
05289514,Management Team,2023-10-15,9999-12-31,
05293099,Sales,2004-11-15,9999-12-31,
05293918,Customer Service,2023-12-01,9999-12-31,
05296831,Sales,2006-01-01,9999-12-31,
05298666,Sales,2006-02-01,9999-12-31,
05299059,Finance & Admin,2010-03-15,9999-12-31,
05299572,Sales,2009-04-01,9999-12-31,
05303515,Logistics,2010-05-15,9999-12-31,
05305000,Logistics,2021-06-01,9999-12-31,
05307886,Sales,2022-07-01,9999-12-31,
05311843,Logistics,2022-08-01,9999-12-31,
05321786,Sales,2003-09-01,9999-12-31,
05322814,Logistics,2019-10-15,9999-12-31,
05324033,Sales,2012-11-15,9999-12-31,
05324091,Customer Service,2006-12-01,9999-12-31,
05324684,Customer Service,2001-01-01,9999-12-31,
05325981,Logistics,2017-02-01,9999-12-31,
05327043,IKEA Food,2010-03-15,9999-12-31,
05327446,Sales,2022-04-01,9999-12-31,
05331330,Com&In,2003-05-15,9999-12-31,
05332807,IKEA Food,2020-06-01,9999-12-31,
05338033,Customer Service,2003-07-01,9999-12-31,
05338580,Logistics,2021-08-01,9999-12-31,
05338907,Sales,2023-09-01,9999-12-31,
05339203,Sales,2022-10-15,9999-12-31,
05341744,Sales,2011-11-15,9999-12-31,
05342661,Sales,2003-12-01,9999-12-31,
05342849,IKEA Food,2020-01-01,9999-12-31,
05343779,Sales,2011-02-01,9999-12-31,
05346022,Logistics,2020-03-15,9999-12-31,
05346586,Logistics,2023-04-01,9999-12-31,
05349621,Sales,2023-05-15,9999-12-31,
05351764,Finance & Admin,2020-06-01,9999-12-31,
05352941,Customer Service,2003-07-01,9999-12-31,
05352956,Com&In,2005-08-01,9999-12-31,
05358729,Sales,2013-09-01,9999-12-31,
05366546,Logistics,2019-10-15,9999-12-31,
05371750,Customer Service,2011-11-15,9999-12-31,
05373619,Logistics,2008-12-01,9999-12-31,
05382208,Sales,2022-01-01,9999-12-31,
05382391,Logistics,2019-02-01,9999-12-31,
05382902,Sales,2022-03-15,9999-12-31,
05387528,IKEA Food,2020-04-01,9999-12-31,
05387570,Customer Service,2013-05-15,9999-12-31,
05389144,Customer Service,2003-06-01,9999-12-31,
05390442,Logistics,2021-07-01,9999-12-31,
05394043,Sales,2021-08-01,9999-12-31,
05395305,Logistics,2022-09-01,9999-12-31,
05396352,Sales,2023-10-15,9999-12-31,
05396750,Customer Service,2009-11-15,9999-12-31,
05399077,Logistics,2022-12-01,9999-12-31,
05399189,IKEA Food,2019-01-01,9999-12-31,
05399693,Sales,2022-02-01,9999-12-31,
05402501,Sales,2023-03-15,9999-12-31,
05404389,Customer Service,2009-04-01,9999-12-31,
05405425,Sales,2023-05-15,9999-12-31,
05407676,Customer Service,2022-06-01,9999-12-31,
05411597,IKEA Food,2019-07-01,9999-12-31,
05411647,Customer Service,2003-08-01,9999-12-31,
05413727,IKEA Food,2011-09-01,9999-12-31,
05416221,Logistics,2023-10-15,9999-12-31,
05417733,Com&In,2018-11-15,9999-12-31,
05417998,Logistics,2022-12-01,9999-12-31,
05419416,IKEA Food,1990-01-01,9999-12-31,
05419786,Customer Service,2020-02-01,9999-12-31,
05421383,Logistics,2003-03-15,9999-12-31,
05424190,Customer Service,1995-04-01,9999-12-31,
05424236,IKEA Food,2018-05-15,9999-12-31,
05424853,IKEA Food,2020-06-01,9999-12-31,
05425786,Sales,2021-07-01,9999-12-31,
05428117,Sales,2003-08-01,9999-12-31,
05434979,Sales,2003-09-01,9999-12-31,
05435691,Sales,1993-10-15,9999-12-31,
05439742,Sales,2023-11-15,9999-12-31,
05441613,Sales,1993-12-01,9999-12-31,
05442251,Com&In,2016-01-01,9999-12-31,
05442380,Customer Service,2011-02-01,9999-12-31,
05442664,Sales,2017-03-15,9999-12-31,
05443928,Logistics,2020-04-01,9999-12-31,
05445338,Com&In,2010-05-15,9999-12-31,
05445737,Logistics,2016-06-01,9999-12-31,
05451597,Customer Service,2012-07-01,9999-12-31,
05455009,Sales,2023-08-01,9999-12-31,
05459340,Sales,1986-09-01,9999-12-31,
05459415,Logistics,2022-10-15,9999-12-31,
05461142,Finance & Admin,2003-11-15,9999-12-31,
05462528,Sales,2003-12-01,9999-12-31,
05463228,Management Team,1999-01-01,9999-12-31,
05463710,Logistics,2022-02-01,9999-12-31,
05468197,Logistics,2018-03-15,9999-12-31,
05474733,Sales,2022-04-01,9999-12-31,
05478035,IKEA Food,2020-05-15,9999-12-31,
05482760,Customer Service,2021-06-01,9999-12-31,
05483236,Management Team,2015-07-01,9999-12-31,
05485221,Sales,2008-08-01,9999-12-31,
05485458,Customer Service,2007-09-01,9999-12-31,
05487164,Logistics,2022-10-15,9999-12-31,
05493683,Sales,2022-11-15,9999-12-31,
05493857,Customer Service,2000-12-01,9999-12-31,
05495936,Sales,2002-04-01,9999-12-31,
05495968,People & Culture,2004-05-15,9999-12-31,
05498437,Logistics,2004-06-01,9999-12-31,
05499953,Logistics,2015-07-01,9999-12-31,
05501585,Logistics,2022-08-01,9999-12-31,
05502272,Customer Service,2006-09-01,9999-12-31,
05503401,Finance & Admin,2010-10-15,9999-12-31,
05505843,Logistics,2021-11-15,9999-12-31,
05509569,Logistics,2023-12-01,9999-12-31,
05514951,Sales,1994-01-01,9999-12-31,
05517635,Customer Service,2022-02-01,9999-12-31,
05518619,People & Culture,2008-03-15,9999-12-31,
05518676,Customer Service,2023-04-01,9999-12-31,
05520629,Customer Service,2003-05-15,9999-12-31,
05522642,IKEA Food,2019-06-01,9999-12-31,
05531027,Management Team,2001-07-01,9999-12-31,
05536344,Sales,2010-08-01,9999-12-31,
05539227,Sales,2003-09-01,9999-12-31,
05539757,Sales,1988-10-15,9999-12-31,
05543305,IKEA Food,2018-11-15,9999-12-31,
05543950,Logistics,2022-12-01,9999-12-31,
05544709,Logistics,2022-01-01,9999-12-31,
05547587,Logistics,2022-02-01,9999-12-31,
05548513,IKEA Food,2011-03-15,9999-12-31,
05552527,Customer Service,2018-04-01,9999-12-31,
05559067,Sales,2019-02-01,9999-12-31,
05560924,Customer Service,2003-05-15,9999-12-31,
05564451,Logistics,2020-06-01,9999-12-31,
05564925,Com&In,2022-07-01,9999-12-31,
05568428,Logistics,2023-08-01,9999-12-31,
05572636,Sales,2020-09-01,9999-12-31,
05573599,Logistics,2003-10-15,9999-12-31,
05574614,Customer Service,2000-11-15,9999-12-31,
05575225,Logistics,2022-12-01,9999-12-31,
05576476,Sales,2022-02-01,9999-12-31,
05579977,Sales,2019-01-01,9999-12-31,
05580364,Logistics,2022-02-01,9999-12-31,
05584941,Customer Service,2003-03-15,9999-12-31,
05585003,Sales,1981-04-01,9999-12-31,
05586415,Customer Service,2023-05-15,9999-12-31,
05587088,Customer Service,2009-06-01,9999-12-31,
05587364,Logistics,2021-07-01,9999-12-31,
05592670,Sales,2020-08-01,9999-12-31,
05597984,Com&In,2022-09-01,9999-12-31,
05604330,Sales,2022-10-15,9999-12-31,
05606541,Sales,2002-11-15,9999-12-31,
05607012,Com&In,2003-12-01,9999-12-31,
05607529,Sales,2003-01-01,9999-12-31,
05609476,Sales,2020-02-01,9999-12-31,
05611846,Management Team,1997-03-15,9999-12-31,
05612461,Com&In,2018-04-01,9999-12-31,
05613966,Logistics,2012-05-15,9999-12-31,
05616440,Logistics,2022-06-01,9999-12-31,
05618326,Logistics,2020-07-01,9999-12-31,
05618679,Management Team,2018-08-01,9999-12-31,
